City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Ormond Beach,US,2022-04-05 00:38:00,29.2858,-81.0559,73.49,71,20,7.0
89,Arlit,NE,2022-04-05 00:38:00,18.7369,7.3853,85.26,6,100,5.39
90,Severo-Kurilsk,RU,2022-04-05 00:38:01,50.6789,156.125,36.41,91,24,7.45
91,Northam,GB,2022-04-05 00:38:01,51.0333,-4.2167,52.39,95,100,13.11
92,Lang Son,VN,2022-04-05 00:39:01,21.8333,106.7333,66.25,51,20,3.33
93,Bluff,NZ,2022-04-05 00:39:02,-46.6,168.3333,62.94,76,100,8.08
94,Mapiri,BO,2022-04-05 00:39:02,-15.25,-68.1667,68.45,98,84,0.63
95,Esperance,AU,2022-04-05 00:39:03,-33.8667,121.9,60.64,68,42,14.74
96,Paamiut,GL,2022-04-05 00:39:03,61.994,-49.6678,30.76,96,100,11.05
97,Inhambane,MZ,2022-04-05 00:39:03,-23.865,35.3833,73.92,69,9,9.13
98,Camacha,PT,2022-04-05 00:34:32,33.0833,-16.3333,53.02,54,40,21.85
99,Los Llanos De Aridane,ES,2022-04-05 00:39:04,28.6585,-17.9182,58.75,74,0,18.41
100,Finnsnes,NO,2022-04-05 00:39:04,69.2296,17.9811,2.75,89,17,4.68
101,Sao Joao Da Barra,BR,2022-04-05 00:39:04,-21.6403,-41.0511,77.47,88,0,8.9
102,Lompoc,US,2022-04-05 00:39:05,34.6391,-120.4579,77.56,60,0,26.46
103,Qaanaaq,GL,2022-04-05 00:39:05,77.484,-69.3632,27.34,71,100,9.1
104,Narrabri,AU,2022-04-05 00:39:05,-30.3167,149.7833,78.53,61,0,5.75
105,Norman Wells,CA,2022-04-05 00:39:06,65.282,-126.8329,5.04,47,75,12.66
106,San Pedro,PH,2022-04-05 00:39:06,14.35,121.0167,76.23,94,100,4.61
107,Havre,FR,2022-04-05 00:39:07,49.5833,0.3333,48.6,100,100,13.8
108,Voskresenskoye,RU,2022-04-05 00:39:07,56.8381,45.4317,24.93,93,99,5.41
