City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Powell River,CA,49.8496,-124.5361,48.2,81,75,2.3,broken clouds
316,Ivanteyevka,RU,55.9711,37.9208,48.74,89,100,13.06,overcast clouds
317,Boa Esperanca,BR,-21.09,-45.5658,71.67,86,90,1.72,moderate rain
318,Huangchuan,CN,32.1272,115.0394,62.65,51,13,9.86,few clouds
319,Vytegra,RU,61.0064,36.4481,41.47,93,100,13.44,overcast clouds
320,Margate,GB,51.3813,1.3862,42.69,74,100,1.99,overcast clouds
321,Keighley,GB,53.8679,-1.9066,39.13,51,0,13.8,clear sky
322,Tsuyama,JP,35.05,134.0,42.84,81,0,0.76,clear sky
323,Coihaique,CL,-45.5752,-72.0662,59.61,58,40,5.75,scattered clouds
324,Shimanovsk,RU,52.0,127.7,22.08,95,82,4.21,broken clouds
325,Tiznit,MA,29.5833,-9.5,64.54,53,0,0.56,clear sky
326,Kavaratti,IN,10.5669,72.642,83.25,73,100,5.97,overcast clouds
327,Nagato,JP,34.3833,131.2,53.26,55,0,6.93,clear sky
328,Maltahohe,NA,-24.8333,16.9833,67.17,21,3,8.68,clear sky
329,Kloulklubed,PW,7.0419,134.2556,80.65,85,100,13.22,moderate rain
330,Pevek,RU,69.7008,170.3133,-13.79,97,99,5.59,overcast clouds
331,Saint-Georges,GD,12.0564,-61.7485,82.08,74,20,23.02,few clouds
332,Simplicio Mendes,BR,-7.8539,-41.9103,84.2,50,98,3.04,overcast clouds
333,Wencheng,CN,33.0559,113.7978,68.2,46,100,10.8,overcast clouds
334,Tripoli,LY,32.8752,13.1875,62.47,61,40,14.03,scattered clouds
335,Severo-Yeniseyskiy,RU,60.3725,93.0408,18.61,98,100,1.88,overcast clouds
336,Lasa,IT,46.6166,10.7002,52.68,99,96,4.81,overcast clouds
337,Yakeshi,CN,49.2833,120.7333,31.5,58,2,5.14,clear sky
338,Norrtalje,SE,59.758,18.705,31.01,94,100,13.38,light snow
339,Opuwo,NA,-18.0607,13.84,73.24,43,1,1.9,clear sky
340,Ruy Barbosa,BR,-12.2839,-40.4939,78.04,34,5,1.16,clear sky
341,Hirado,JP,33.3597,129.5531,52.39,63,0,9.13,clear sky
342,Port Keats,AU,-14.25,129.55,75.81,82,96,3.2,overcast clouds
343,Broken Hill,AU,-31.95,141.4333,64.36,68,87,8.3,overcast clouds
344,Aleksandrov Gay,RU,50.147,48.5704,50.05,89,100,12.86,overcast clouds
